Timestamp,Tweets
2016-07-08 07:00:00,3497
2016-07-08 08:00:00,3043
2016-07-08 09:00:00,3664
2016-07-08 10:00:00,3012
2016-07-08 11:00:00,4281
2016-07-08 12:00:00,3762
2016-07-08 13:00:00,3056
2016-07-08 14:00:00,2664
2016-07-08 15:00:00,2535
2016-07-08 16:00:00,2302
2016-07-08 17:00:00,2303
2016-07-08 18:00:00,2067
2016-07-08 19:00:00,1966
2016-07-08 20:00:00,1930
2016-07-08 21:00:00,1874
2016-07-08 22:00:00,1257
2016-07-08 23:00:00,1225
2016-07-09 00:00:00,1139
2016-07-09 01:00:00,990
2016-07-09 02:00:00,942
2016-07-09 03:00:00,964
2016-07-09 04:00:00,1054
2016-07-09 05:00:00,2320
2016-07-09 06:00:00,2707
2016-07-09 07:00:00,2075
2016-07-09 08:00:00,1907
2016-07-09 09:00:00,2086
2016-07-09 10:00:00,1807
2016-07-09 11:00:00,1878
2016-07-09 12:00:00,1758
2016-07-09 13:00:00,1470
2016-07-09 14:00:00,1693
2016-07-09 15:00:00,1537
2016-07-09 16:00:00,1145
2016-07-09 17:00:00,1412
2016-07-09 18:00:00,1743
2016-07-09 19:00:00,1369
2016-07-09 20:00:00,1288
2016-07-09 21:00:00,1168
2016-07-09 22:00:00,910
2016-07-09 23:00:00,107
2016-07-10 21:00:00,489
2016-07-10 22:00:00,770
2016-07-10 23:00:00,679
2016-07-11 00:00:00,759
2016-07-11 01:00:00,599
2016-07-11 02:00:00,571
2016-07-11 03:00:00,694
2016-07-11 04:00:00,751
2016-07-11 05:00:00,1274
2016-07-11 06:00:00,1177
2016-07-11 07:00:00,1358
2016-07-11 08:00:00,1658
2016-07-11 09:00:00,3751
2016-07-11 10:00:00,5203
2016-07-11 11:00:00,2773
2016-07-11 12:00:00,2418
2016-07-11 13:00:00,2965
2016-07-11 14:00:00,2502
2016-07-11 15:00:00,1768
2016-07-11 16:00:00,1770
2016-07-11 17:00:00,1553
2016-07-11 18:00:00,1915
2016-07-11 19:00:00,1641
2016-07-11 20:00:00,1668
2016-07-11 21:00:00,1386
2016-07-11 22:00:00,1089
2016-07-11 23:00:00,935
2016-07-12 00:00:00,1148
2016-07-12 01:00:00,926
2016-07-12 02:00:00,1050
2016-07-12 03:00:00,1092
2016-07-12 04:00:00,1962
2016-07-12 05:00:00,2073
2016-07-12 06:00:00,2543
2016-07-12 07:00:00,3172
2016-07-12 08:00:00,3234
2016-07-12 09:00:00,2872
2016-07-12 10:00:00,3506
2016-07-12 11:00:00,3087
2016-07-12 12:00:00,2529
2016-07-12 13:00:00,2800
2016-07-12 14:00:00,2670
2016-07-12 15:00:00,2428
2016-07-12 16:00:00,2520
2016-07-12 17:00:00,1887
2016-07-12 18:00:00,1725
2016-07-12 19:00:00,1430
2016-07-12 20:00:00,1615
2016-07-12 21:00:00,1517
2016-07-12 22:00:00,1261
2016-07-12 23:00:00,1068
2016-07-13 00:00:00,1001
2016-07-13 01:00:00,1078
2016-07-13 02:00:00,1084
2016-07-13 03:00:00,1104
2016-07-13 04:00:00,1558
2016-07-13 05:00:00,1537
2016-07-13 06:00:00,1641
2016-07-13 07:00:00,1964
2016-07-13 08:00:00,1781
2016-07-13 09:00:00,2187
2016-07-13 10:00:00,1791
2016-07-13 11:00:00,1879
2016-07-13 12:00:00,1843
2016-07-13 13:00:00,1807
2016-07-13 14:00:00,1665
2016-07-13 15:00:00,1535
2016-07-13 16:00:00,1705
2016-07-13 17:00:00,1799
2016-07-13 18:00:00,1639
2016-07-13 19:00:00,1766
2016-07-13 20:00:00,1690
2016-07-13 21:00:00,2147
2016-07-13 22:00:00,979
2016-07-13 23:00:00,1447
2016-07-14 00:00:00,1051
2016-07-14 01:00:00,877
2016-07-14 02:00:00,892
2016-07-14 03:00:00,1058
2016-07-14 04:00:00,1319
2016-07-14 05:00:00,1523
2016-07-14 06:00:00,1433
2016-07-14 07:00:00,2021
2016-07-14 08:00:00,2223
2016-07-14 09:00:00,2412
2016-07-14 10:00:00,2331
2016-07-14 11:00:00,1955
2016-07-14 12:00:00,2127
2016-07-14 13:00:00,1940
2016-07-14 14:00:00,1900
2016-07-14 15:00:00,1789
2016-07-14 16:00:00,1414
2016-07-14 17:00:00,1313
2016-07-14 18:00:00,1492
2016-07-14 19:00:00,1606
2016-07-14 20:00:00,1512
2016-07-14 21:00:00,1191
2016-07-14 22:00:00,1023
2016-07-14 23:00:00,865
2016-07-15 00:00:00,864
2016-07-15 01:00:00,740
2016-07-15 02:00:00,733
2016-07-15 03:00:00,798
2016-07-15 04:00:00,834
2016-07-15 05:00:00,1164
2016-07-15 06:00:00,1514
2016-07-15 07:00:00,1649
2016-07-15 08:00:00,1684
2016-07-15 09:00:00,1781
2016-07-15 10:00:00,1819
2016-07-15 11:00:00,2419
2016-07-15 12:00:00,3372
2016-07-15 13:00:00,3326
2016-07-15 14:00:00,2429
2016-07-15 15:00:00,3589
2016-07-15 16:00:00,1666
2016-07-15 17:00:00,2795
2016-07-15 18:00:00,2154
2016-07-15 19:00:00,1728
2016-07-15 20:00:00,1873
2016-07-15 21:00:00,1351
2016-07-15 22:00:00,1235
2016-07-15 23:00:00,1644
2016-07-16 00:00:00,1190
2016-07-16 01:00:00,978
2016-07-16 02:00:00,887
2016-07-16 03:00:00,784
2016-07-16 04:00:00,861
2016-07-16 05:00:00,1745
2016-07-16 06:00:00,1549
2016-07-16 07:00:00,2047
2016-07-16 08:00:00,1923
2016-07-16 09:00:00,2195
2016-07-16 10:00:00,2339
2016-07-16 11:00:00,2379
2016-07-16 12:00:00,2852
2016-07-16 13:00:00,2192
2016-07-16 14:00:00,1669
2016-07-16 15:00:00,1658
2016-07-16 16:00:00,1533
2016-07-16 17:00:00,1392
2016-07-16 18:00:00,1629
2016-07-16 19:00:00,1591
2016-07-16 20:00:00,1223
2016-07-16 21:00:00,1314
2016-07-16 22:00:00,1148
2016-07-16 23:00:00,803
2016-07-17 00:00:00,955
2016-07-17 01:00:00,1037
2016-07-17 02:00:00,1846
2016-07-17 03:00:00,762
2016-07-17 04:00:00,735
2016-07-17 05:00:00,770
2016-07-17 06:00:00,1034
2016-07-17 07:00:00,1767
2016-07-17 08:00:00,1785
2016-07-17 09:00:00,1563
2016-07-17 10:00:00,1396
2016-07-17 11:00:00,1613
2016-07-17 12:00:00,2307
2016-07-17 13:00:00,1630
2016-07-17 14:00:00,2109
2016-07-17 15:00:00,1929
2016-07-17 16:00:00,1486
2016-07-17 17:00:00,1400
2016-07-17 18:00:00,1405
2016-07-17 19:00:00,1360
2016-07-17 20:00:00,1429
2016-07-17 21:00:00,1078
2016-07-17 22:00:00,806
2016-07-17 23:00:00,828
2016-07-18 00:00:00,1136
2016-07-18 01:00:00,907
2016-07-18 02:00:00,831
2016-07-18 03:00:00,873
2016-07-18 04:00:00,1335
2016-07-18 05:00:00,1494
2016-07-18 06:00:00,4729
2016-07-18 07:00:00,4321
2016-07-18 08:00:00,7144
2016-07-18 09:00:00,7821
2016-07-18 10:00:00,6588
2016-07-18 11:00:00,5002
2016-07-18 12:00:00,4833
2016-07-18 13:00:00,5212
2016-07-18 14:00:00,3153
2016-07-18 15:00:00,2958
2016-07-18 16:00:00,2820
2016-07-18 17:00:00,3098
2016-07-18 18:00:00,3255
2016-07-18 19:00:00,2711
2016-07-18 20:00:00,2520
2016-07-18 21:00:00,2377
2016-07-18 22:00:00,1752
2016-07-18 23:00:00,1806
2016-07-19 00:00:00,1566
2016-07-19 01:00:00,1430
2016-07-19 02:00:00,1313
2016-07-19 03:00:00,1523
2016-07-19 04:00:00,1738
2016-07-19 05:00:00,2165
2016-07-19 06:00:00,2410
2016-07-19 07:00:00,2735
2016-07-19 08:00:00,3720
2016-07-19 09:00:00,3588
2016-07-19 10:00:00,3509
2016-07-19 11:00:00,3425
2016-07-19 12:00:00,3642
2016-07-19 13:00:00,3431
2016-07-19 14:00:00,3060
2016-07-19 15:00:00,2965
2016-07-19 16:00:00,2693
2016-07-19 17:00:00,2634
2016-07-19 18:00:00,2877
2016-07-19 19:00:00,2723
2016-07-19 20:00:00,2464
2016-07-19 21:00:00,2303
2016-07-19 22:00:00,1718
2016-07-19 23:00:00,1526
2016-07-20 00:00:00,1362
2016-07-20 01:00:00,1539
2016-07-20 02:00:00,1741
2016-07-20 03:00:00,1702
2016-07-20 04:00:00,1905
2016-07-20 05:00:00,2681
2016-07-20 06:00:00,3295
